Référence;Description;Capacity;Bottle_Color;Bottle_Finish;Stones_Name;Stones_Color;Stones_Type
HEIWA050S-G11;Glass bottle bell HEIWA Aventurine 0.5 L;0.5 L;Stainless steel mat;Mat;Aventurine;Green;Gravel
HEIWA050S-G13;Glass bottle bell HEIWA Rose Quartz 0.5 L;0.5 L;Stainless steel mat;Mat;Quartz;Rose;Gravel
HEIWA050S-G40;Glass bottle bell HEIWA Amethyst 0.5 L;0.5 L;Stainless steel mat;Mat;Amethyst;Purple;Gravel
HOGO030S-T01;Glass bottle natural stones HOGO Turquoise 0.30 L;0.3 L;Stainless steel mat;Mat;Turquoise;Blue;Tumbled
KANJO045R-T02;Glass bottle KANJO clear quartz 0.45 L;0.45 L;Rose gold;Shiny;Quartz;White;Tumbled
KANJO045R-T03;Glass bottle KANJO rose quartz 0.45 L;0.45 L;Rose gold;Shiny;Quartz;Rose;Tumbled
HOGO030S-T03;Glass bottle natural stones HOGO Rose Quartz 0.30 L;0.3 L;Stainless steel mat;Mat;Quartz;Rose;Tumbled
HOGO030R-T06;Glass bottle natural stones HOGO Aventurine 0.30 L;0.3 L;Rose gold;Shiny;Aventurine;Green;Tumbled
KANJO045S-T07;Glass bottle KANJO amethyst 0.45 L;0.45 L;Stainless steel mat;Mat;Amethyst;Purple;Tumbled
KANJO045S-T08;Glass bottle KANJO lapis lazuli 0.45 L;0.45 L;Stainless steel mat;Mat;Citrine;Yellow;Tumbled
HEIWA050S-G24;Glass bottle bell HEIWA Apatite 0.5 L;0.5 L;Stainless steel mat;Mat;Apatite;Blue;Gravel
